+AF8-id,stop+AF8-name,stop+AF8-lat,stop+AF8-lon,location+AF8-type,parent+AF8-station,zone+AF8-id,wheelchair+AF8-boarding,MFL,BSS,NHSL
30838, Delaware Av +ACY- Lewis St +AC0- FS,39.986457,+AC0-75.076256,,,1,,,,
29733,10 Campus Blvd +AC0- FS,39.976779,+AC0-75.416295,,,1,,,,
19545,1000 Tinicum Island Rd,39.870136,+AC0-75.27083,,,1,,,,
29447,1000 Tinicum Island Rd +AC0- MBNS,39.871082,+AC0-75.271347,,,1,,,,
30583,10th +ACY- Main St,40.193235,+AC0-75.529563,,,1,,,,
30580,10th Av +ACY- Church St,40.19402,+AC0-75.530418,,,1,,,,
30581,10th Av +ACY- Royersford Rd,40.19534,+AC0-75.53164,,,1,,,,
759,10th St +ACY- Bigler St ,39.913563,+AC0-75.165174,,,1,,,,
24617,10th St +ACY- Bigler St ,39.913224,+AC0-75.165066,,,1,,,,
16492,10th St +ACY- Butler St,40.00987,+AC0-75.143896,,,1,,,,
16397,10th St +ACY- Butler St ,40.010039,+AC0-75.144026,,,1,,,,
17921,10th St +ACY- Champlost St,40.043383,+AC0-75.136596,,,1,,,,
16054,10th St +ACY- Clarkson Av,40.035927,+AC0-75.138377,,,1,,,,
16102,10th St +ACY- Cumberland St ,39.990057,+AC0-75.148418,,,1,,,,
16104,10th St +ACY- Dauphin St ,39.987078,+AC0-75.149067,,,1,,,,
16071,10th St +ACY- Duncannon Av,40.031324,+AC0-75.139354,,,1,,,,
16398,10th St +ACY- Erie Av,40.008452,+AC0-75.144398,,,1,,,,
16491,10th St +ACY- Erie Av +AC0- FS,40.008505,+AC0-75.144209,,,1,,,,
16067,10th St +ACY- Fisher Av +AC0- FS,40.032814,+AC0-75.139076,,,1,,,,
17925,10th St +ACY- Godfrey Av,40.046203,+AC0-75.135947,,,1,,,,
16592,10th St +ACY- Johnston St ,39.914714,+AC0-75.164895,,,1,,,,
16133,10th St +ACY- Lindley Av,40.02979,+AC0-75.139667,,,1,,,,
16494,10th St +ACY- Luzerne St ,40.012849,+AC0-75.143246,,,1,,,,
30866,10th St +ACY- Main St,39.920121,+AC0-75.263141,,,1,,,,
26327,10th St +ACY- Market St,39.820072,+AC0-75.417127,,,1,,,,
20419,10th St +ACY- Moore St +AC0- FS,39.927006,+AC0-75.162241,,,1,,,,
20838,10th St +ACY- Mulberry Av ,39.923621,+AC0-75.257349,,,1,,,,
28699,10th St +ACY- Olney Av ,40.037658,+AC0-75.13798,,,1,,,,
986,10th St +ACY- Oregon Av ,39.915775,+AC0-75.164501,,,1,,,,
31461,10th St +ACY- Packer Av,39.91086,+AC0-75.165723,,,1,,,,
29432,10th St +ACY- Packer Av +AC0- FS,39.911225,+AC0-75.165473,,,1,,,,
16396,10th St +ACY- Pike St,40.011493,+AC0-75.143712,,,1,,,,
16493,10th St +ACY- Pike St,40.011324,+AC0-75.143583,,,1,,,,
26324,10th St +ACY- Plaza Dr,39.82158,+AC0-75.412459,,,1,,,,
26451,10th St +ACY- Plaza Dr,39.821419,+AC0-75.412376,,,1,,,,
20841,10th St +ACY- Ridge Av ,39.921306,+AC0-75.261462,,,1,,,,
16135,10th St +ACY- Rockland St,40.027026,+AC0-75.140335,,,1,,,,
16134,10th St +ACY- Ruscomb St,40.028264,+AC0-75.140016,,,1,,,,
17923,10th St +ACY- Spencer St,40.044946,+AC0-75.136224,,,1,,,,
20840,10th St +ACY- Summit St,39.922553,+AC0-75.259641,,,1,,,,
16105,10th St +ACY- Susquehanna Av ,39.985472,+AC0-75.149416,,,1,,,,
16053,10th St +ACY- Tabor Rd,40.036792,+AC0-75.138149,,,1,,,,
28693,10th St +ACY- Wagner Av ,40.034217,+AC0-75.139933,,,1,,,,
16061,10th St +ACY- Wagner Av +AC0- FS,40.034253,+AC0-75.140063,,,1,,,,
20839,10th St +ACY- Wycombe Av ,39.923096,+AC0-75.258471,,,1,,,,
26450,10th St +ACY- Yates Av,39.82091,+AC0-75.413932,,,1,,,,
26325,10th St +ACY- Yates Av +AC0- FS,39.821107,+AC0-75.413897,,,1,,,,
16103,10th St +ACY- York St ,39.988559,+AC0-75.148766,,,1,,,,
29735,11 Campus Blvd +AC0- FS,39.977065,+AC0-75.416709,,,1,,,,
23423,11th St +ACY- 65th Av,40.051329,+AC0-75.136979,,,1,,,,
23577,11th St +ACY- 65th Av,40.051561,+AC0-75.137072,,,1,,,,
23424,11th St +ACY- 66th Av,40.05289,+AC0-75.136629,,,1,,,,
23576,11th St +ACY- 66th Av,40.053113,+AC0-75.136735,,,1,,,,
23426,11th St +ACY- 69th Av,40.057217,+AC0-75.135677,,,1,,,,
16845,11th St +ACY- Arch St,39.953673,+AC0-75.157843,,,1,,,,
16837,11th St +ACY- Bainbridge St ,39.942067,+AC0-75.160354,,,1,,,,
16867,11th St +ACY- Berks St,39.980997,+AC0-75.151844,,,1,,,,
16855,11th St +ACY- Brown St,39.966554,+AC0-75.154983,,,1,,,,
17855,11th St +ACY- Callowhill St,39.958847,+AC0-75.156689,,,1,,,,
16831,11th St +ACY- Carpenter St,39.938312,+AC0-75.161171,,,1,,,,
16835,11th St +ACY- Catharine St ,39.940078,+AC0-75.160775,,,1,,,,
16865,11th St +ACY- Cecil B Moore Av,39.977857,+AC0-75.152541,,,1,,,,
17716,11th St +ACY- Champlost Av,40.043808,+AC0-75.138286,,,1,,,,
23422,11th St +ACY- Chelten Av,40.049473,+AC0-75.1374,,,1,,,,
23578,11th St +ACY- Chelten Av,40.049863,+AC0-75.137419,,,1,,,,
16844,11th St +ACY- Chestnut St,39.950131,+AC0-75.158576,,,1,,,,
17398,11th St +ACY- Chew St +AC0- FS,40.039051,+AC0-75.139156,,,1,,,,
16834,11th St +ACY- Christian St ,39.939311,+AC0-75.160955,,,1,,,,
17396,11th St +ACY- Clarkson Av,40.036038,+AC0-75.139867,,,1,,,,
31593,11th St +ACY- Constitution Av,39.891796,+AC0-75.169829,,,1,0,,,
16873,11th St +ACY- Cumberland St,39.990096,+AC0-75.149859,,,1,,,,
16871,11th St +ACY- Dauphin St,39.987109,+AC0-75.150484,,,1,,,,
16869,11th St +ACY- Diamond St,39.983896,+AC0-75.151206,,,1,,,,
16833,11th St +ACY- Ellsworth St ,39.935769,+AC0-75.161712,,,1,,,,
16854,11th St +ACY- Fairmount Av,39.9656,+AC0-75.155211,,,1,,,,
16832,11th St +ACY- Federal St ,39.934726,+AC0-75.16194,,,1,,,,
16836,11th St +ACY- Fitzwater St ,39.941086,+AC0-75.16057,,,1,,,,
1185,11th St +ACY- Girard Av,39.970702,+AC0-75.154081,,,1,,,,
23420,11th St +ACY- Godfrey Av,40.046537,+AC0-75.137507,,,1,,,,
17713,11th St +ACY- Godfrey Av +AC0- FS,40.046636,+AC0-75.137672,,,1,,,,
16852,11th St +ACY- Green St ,39.962674,+AC0-75.155848,,,1,,,,
16874,11th St +ACY- Huntingdon St,39.991577,+AC0-75.149534,,,1,,,,
30871,11th St +ACY- I95,39.899552,+AC0-75.169753,,,1,,,,
21788,11th St +ACY- Jackson St ,39.922406,+AC0-75.164666,,,1,,,,
16863,11th St +ACY- Jefferson St,39.975074,+AC0-75.153143,,,1,,,,
21279,11th St +ACY- Kitty Hawk Av,39.890449,+AC0-75.169668,,,1,,,,
16842,11th St +ACY- Locust St,39.947482,+AC0-75.159177,,,1,,,,
16839,11th St +ACY- Lombard St ,39.943941,+AC0-75.159934,,,1,,,,
1184,11th St +ACY- Market St +AC0- FS,39.951996,+AC0-75.15818,,,1,,,,
16862,11th St +ACY- Master St,39.973718,+AC0-75.153431,,,1,,,,
21790,11th St +ACY- McKean St,39.92485,+AC0-75.164125,,,1,,,,
23421,11th St +ACY- Medary Av,40.048287,+AC0-75.13757,,,1,,,,
23579,11th St +ACY- Medary Av,40.048537,+AC0-75.137759,,,1,,,,
16600,11th St +ACY- Mifflin St ,39.926073,+AC0-75.163861,,,1,,,,
16866,11th St +ACY- Montgomery Av,39.979364,+AC0-75.152205,,,1,,,,
16601,11th St +ACY- Moore St ,39.927295,+AC0-75.163562,,,1,,,,
16603,11th St +ACY- Morris St ,39.928517,+AC0-75.163309,,,1,,,,
24238,11th St +ACY- Moyamensing Av,39.919329,+AC0-75.165362,,,1,,,,
17718,11th St +ACY- Nedro Av,40.042309,+AC0-75.1386,,,1,,,,
21534,11th St +ACY- Nedro Av +AC0- FS,40.041474,+AC0-75.139306,,,1,,,,
16849,11th St +ACY- Noble St,39.959694,+AC0-75.156509,,,1,,,,
16868,11th St +ACY- Norris St,39.982424,+AC0-75.151543,,,1,,,,
23425,11th St +ACY- Oak Ln,40.054844,+AC0-75.136207,,,1,,,,
23575,11th St +ACY- Oak Ln Av,40.05513,+AC0-75.136301,,,1,,,,
28694,11th St +ACY- Olney Av ,40.037786,+AC0-75.139469,,,1,,,,
30858,11th St +ACY- Oregon Av +AC0- FS,39.916331,+AC0-75.165986,,,1,,,,
16864,11th St +ACY- Oxford St ,39.976501,+AC0-75.15283,,,1,,,,
16856,11th St +ACY- Parrish St,39.967661,+AC0-75.154754,,,1,,,,
16840,11th St +ACY- Pine St ,39.944833,+AC0-75.159742,,,1,,,,
16857,11th St +ACY- Poplar St,39.968838,+AC0-75.15449,,,1,,,,
21784,11th St +ACY- Porter St ,39.918579,+AC0-75.165482,,,1,,,,
16846,11th St +ACY- Race St,39.955493,+AC0-75.157446,,,1,,,,
16850,11th St +ACY- Ridge Av,39.960328,+AC0-75.156376,,,1,,,,
21785,11th St +ACY- Ritner St ,39.919917,+AC0-75.165194,,,1,,,,
21783,11th St +ACY- Shunk St,39.917402,+AC0-75.165758,,,1,,,,
16594,11th St +ACY- Snyder Av,39.923637,+AC0-75.164401,,,1,,,,
17394,11th St +ACY- Somerville Av +AC0- FS,40.034673,+AC0-75.14018,,,1,,,,
16838,11th St +ACY- South St ,39.942915,+AC0-75.16015,,,1,,,,
